"","lon","lat"
"1",-47.4030649,-18.4868648
"2",-45.4448368,-19.1555986
"3",-45.4448368,-19.1555986
"4",-49.833682,-24.9404121
"5",-50.3137567,-23.3053431
"6",-50.3137567,-23.3053431
"7",-42.4747054,-20.3001336
"8",-43.1442744,-20.3595194
"9",-43.1442744,-20.3595194
"10",-42.5425406,-19.06994
"11",-42.3922222,-17.9955855
"12",-42.3922222,-17.9955855
"13",-48.1073269,-20.0580418
"14",-45.3918842,-20.944425
"15",-40.9387356,-17.0806813
"16",-40.9387356,-17.0806813
"17",-41.4575095,-15.7435192
"18",-41.4575095,-15.7435192
"19",-49.3347711,-25.9903937
"20",-41.0717332,-19.4960182
"21",-44.6046365,-21.9740981
"22",16.3681824,48.2046992
"23",-46.6143541,-22.2022609
"24",-42.7045927,-21.8881375
"25",-42.7045927,-21.8881375
"26",-45.9481612,-21.4261129
"27",-45.9481612,-21.4261129
"28",-43.772182,-21.154009
"29",-40.6953256,-16.1797135
"30",-40.6953256,-16.1797135
"31",-49.3042082,-25.3193102
"32",-49.3042082,-25.3193102
"33",-41.9899003,-18.9903784
"34",-41.9899003,-18.9903784
"35",-46.3882332,-20.863539
"36",-46.3882332,-20.863539
"37",-46.1391013,-21.2492346
"38",-46.1391013,-21.2492346
"39",-51.8927705,-22.8956376
"40",-41.8727375,-20.4468941
"41",-41.8727375,-20.4468941
"42",-41.9673853,-20.4213334
"43",-41.9673853,-20.4213334
"44",-53.8963141,-23.8763869
"45",-53.8963141,-23.8763869
"46",-53.7290395,-23.5086071
"47",-52.3193836,-23.1317202
"48",-52.3193836,-23.1317202
"49",-53.4405473,-24.0228999
"50",-53.4405473,-24.0228999
"51",-43.4153255,-21.0234537
"52",-43.4153255,-21.0234537
"53",-43.053893,-20.1102552
"54",-43.053893,-20.1102552
"55",-43.053893,-20.1102552
"56",-51.23019,-22.7817572
"57",-52.787091,-23.0947436
"58",-53.4707723,-25.9170764
"59",-53.4707723,-25.9170764
"60",-50.2308332,-23.0537463
"61",-50.2308332,-23.0537463
"62",-46.5728134,-22.0699723
"63",-46.5728134,-22.0699723
"64",-44.3121113,-21.7415777
"65",-44.3121113,-21.7415777
"66",-44.3157591,-23.0057347
"67",-44.3157591,-23.0057347
"68",-51.9158437,-23.1950837
"69",-51.9158437,-23.1950837
"70",-48.7228981,-25.4325322
"71",-43.7502275,-21.3191527
"72",-43.7502275,-21.3191527
"73",-42.8723393,-19.653635
"74",-42.8723393,-19.653635
"75",-42.1113371,-21.0196743
"76",-42.1020627,-21.6257256
"77",-51.4639716,-23.5504385
"78",-51.4639716,-23.5504385
"79",-44.2497229,-19.1959836
"80",-44.2497229,-19.1959836
"81",-42.0640899,-16.8527878
"82",-42.0640899,-16.8527878
"83",-48.1938367,-18.6460396
"84",-48.1938367,-18.6460396
"85",-44.2559403,-21.9106617
"86",-44.2559403,-21.9106617
"87",-44.2559403,-21.9106617
"88",-42.5182528,-20.6690965
"89",-51.4264048,-23.4157731
"90",-51.4264048,-23.4157731
"91",-49.185198,-18.4361882
