"",".id","Freq","Var1","lon","lat"
"38","ALTEROSA - MINAS GERAIS",2,"Not accessed",-46.1391013,-21.2492346
"39","Alto Alegre - Paraná",1,"Not accessed",-51.8927705,-22.8956376
"40","ALTO CAPARAO - MINAS GERAIS",1,"Accessed",-41.8727375,-20.4468941
"41","ALTO CAPARAO - MINAS GERAIS",3,"Not accessed",-41.8727375,-20.4468941
"42","ALTO JEQUITIBA - MINAS GERAIS",1,"Accessed",-41.9673853,-20.4213334
"43","ALTO JEQUITIBA - MINAS GERAIS",6,"Not accessed",-41.9673853,-20.4213334
"44","Altônia - Paraná",2,"Accessed",-53.8963141,-23.8763869
"45","Altônia - Paraná",1,"Not accessed",-53.8963141,-23.8763869
"46","Alto Paraíso - Paraná",1,"Accessed",-53.7290395,-23.5086071
"47","Alto Paraná - Paraná",2,"Accessed",-52.3193836,-23.1317202
"48","Alto Paraná - Paraná",1,"Not accessed",-52.3193836,-23.1317202
"49","Alto Piquiri - Paraná",2,"Accessed",-53.4405473,-24.0228999
"50","Alto Piquiri - Paraná",1,"Not accessed",-53.4405473,-24.0228999
"51","ALTO RIO DOCE - MINAS GERAIS",2,"Accessed",-43.4153255,-21.0234537
"52","ALTO RIO DOCE - MINAS GERAIS",2,"Not accessed",-43.4153255,-21.0234537
"53","Alvinópolis/ MG",1,"Not accessed",-43.053893,-20.1102552
"54","ALVINOPOLIS - MINAS GERAIS",1,"Accessed",-43.053893,-20.1102552
"55","ALVINOPOLIS - MINAS GERAIS",2,"Not accessed",-43.053893,-20.1102552
"56","Alvorada do Sul - Paraná",1,"Not accessed",-51.23019,-22.7817572
"57","Amaporă - Paraná",1,"Accessed",-52.787091,-23.0947436
"58","Ampére - Paraná",1,"Accessed",-53.4707723,-25.9170764
"59","Ampére - Paraná",1,"Not accessed",-53.4707723,-25.9170764
"60","Andirá - Paraná",3,"Accessed",-50.2308332,-23.0537463
"61","Andirá - Paraná",1,"Not accessed",-50.2308332,-23.0537463
"62","ANDRADAS - MINAS GERAIS",1,"Accessed",-46.5728134,-22.0699723
"63","ANDRADAS - MINAS GERAIS",3,"Not accessed",-46.5728134,-22.0699723
"64","ANDRELANDIA - MINAS GERAIS",3,"Accessed",-44.3121113,-21.7415777
"65","ANDRELANDIA - MINAS GERAIS",1,"Not accessed",-44.3121113,-21.7415777
"66","ANGRA DOS REIS - RIO DE JANEIRO",16,"Accessed",-44.3157591,-23.0057347
"67","ANGRA DOS REIS - RIO DE JANEIRO",37,"Not accessed",-44.3157591,-23.0057347
"68","Ângulo - Paraná",2,"Accessed",-51.9158437,-23.1950837
"69","Ângulo - Paraná",1,"Not accessed",-51.9158437,-23.1950837
"70","Antonina - Paraná",1,"Accessed",-48.7228981,-25.4325322
"71","ANTONIO CARLOS - MINAS GERAIS",3,"Accessed",-43.7502275,-21.3191527
"72","ANTONIO CARLOS - MINAS GERAIS",1,"Not accessed",-43.7502275,-21.3191527
"73","ANTONIO DIAS - MINAS GERAIS",2,"Accessed",-42.8723393,-19.653635
"74","ANTONIO DIAS - MINAS GERAIS",1,"Not accessed",-42.8723393,-19.653635
"75","ANTONIO PRADO DE MINAS - MINAS GERAIS",1,"Accessed",-42.1113371,-21.0196743
"76","APERIBE - RIO DE JANEIRO",1,"Accessed",-42.1020627,-21.6257256
"77","Apucarana - Paraná",3,"Accessed",-51.4639716,-23.5504385
"78","Apucarana - Paraná",5,"Not accessed",-51.4639716,-23.5504385
"79","ARACAI - MINAS GERAIS",5,"Accessed",-44.2497229,-19.1959836
"80","ARACAI - MINAS GERAIS",5,"Not accessed",-44.2497229,-19.1959836
"81","ARACUAI - MINAS GERAIS",9,"Accessed",-42.0640899,-16.8527878
"82","ARACUAI - MINAS GERAIS",10,"Not accessed",-42.0640899,-16.8527878
"83","ARAGUARI - MINAS GERAIS",6,"Accessed",-48.1938367,-18.6460396
"84","ARAGUARI - MINAS GERAIS",6,"Not accessed",-48.1938367,-18.6460396
"85","Arantina-MG",1,"Not accessed",-44.2559403,-21.9106617
"86","ARANTINA - MINAS GERAIS",2,"Accessed",-44.2559403,-21.9106617
"87","ARANTINA - MINAS GERAIS",7,"Not accessed",-44.2559403,-21.9106617
"88","ARAPONGA - MINAS GERAIS",2,"Not accessed",-42.5182528,-20.6690965
"89","Arapongas - Paraná",5,"Accessed",-51.4264048,-23.4157731
"90","Arapongas - Paraná",1,"Not accessed",-51.4264048,-23.4157731
"91","ARAPORA - MINAS GERAIS",4,"Not accessed",-49.185198,-18.4361882
"92","Arapoti - Paraná",1,"Accessed",-49.826777,-24.1508529
"93","ARARUAMA - RIO DE JANEIRO",8,"Accessed",-42.3336313,-22.8636192
"94","ARARUAMA - RIO DE JANEIRO",3,"Not accessed",-42.3336313,-22.8636192
"95","Araucária - Paraná",4,"Accessed",-49.4052251,-25.586431
"96","Araucária - Paraná",7,"Not accessed",-49.4052251,-25.586431
"97","ARAXA - MINAS GERAIS",27,"Accessed",-46.9442412,-19.5906483
"98","ARAXA - MINAS GERAIS",37,"Not accessed",-46.9442412,-19.5906483
"99","ARCEBURGO - MINAS GERAIS",1,"Not accessed",-46.9418639,-21.3654679
"100","Arcos - MINAS GERAIS",1,"Not accessed",-45.5401621,-20.2880715
"101","ARCOS - MINAS GERAIS",3,"Accessed",-45.5401621,-20.2880715
"102","ARCOS - MINAS GERAIS",15,"Not accessed",-45.5401621,-20.2880715
"103","AREADO - MINAS GERAIS",3,"Accessed",-46.1425066,-21.3576691
"104","AREADO - MINAS GERAIS",14,"Not accessed",-46.1425066,-21.3576691
"105","AREAL - RIO DE JANEIRO",1,"Not accessed",-43.1141413,-22.2318862
"106","ARGIRITA - MINAS GERAIS",2,"Accessed",-42.82957,-21.6087627
"107","Aricanduva - MG",1,"Not accessed",-42.5557771,-17.8676658
"108","ARICANDUVA - MINAS GERAIS",1,"Accessed",-42.5557771,-17.8676658
"109","ARINOS - MG",1,"Not accessed",-46.1047457,-15.9191976
"110","ARINOS - MINAS GERAIS",10,"Accessed",-46.1047457,-15.9191976
"111","ARINOS - MINAS GERAIS",39,"Not accessed",-46.1047457,-15.9191976
"112","ARMACAO DOS BUZIOS - RIO DE JANEIRO",7,"Accessed",-41.889042,-22.7563906
"113","ARMACAO DOS BUZIOS - RIO DE JANEIRO",8,"Not accessed",-41.889042,-22.7563906
"114","ARRAIAL DO CABO - RIO DE JANEIRO",3,"Not accessed",-42.0279869,-22.9657374
"115","Assaí - Paraná",3,"Accessed",-50.8464051,-23.3701577
"116","Assaí - Paraná",1,"Not accessed",-50.8464051,-23.3701577
"117","Assis Chateaubriand",1,"Not accessed",-53.5144393,-24.4068962
"118","Assis Chateaubriand - Paraná",1,"Not accessed",-53.5144393,-24.4068962
"119","Astorga - Paraná",2,"Accessed",-51.667263,-23.2323026
"120","Astorga - Paraná",2,"Not accessed",-51.667263,-23.2323026
"121","Atalaia - Paraná",2,"Accessed",-52.0555847,-23.1521951
"122","AUGUSTO DE LIMA - MINAS GERAIS",1,"Accessed",-44.2606305,-18.1086772
"123","AVARE - SĂO PAULO",1,"Not accessed",-48.925516,-23.1072154
"124","BAEPENDI - MINAS GERAIS",3,"Accessed",-44.8878528,-21.9574833
"125","BAEPENDI - MINAS GERAIS",2,"Not accessed",-44.8878528,-21.9574833
"126","BALDIM - MINAS GERAIS",2,"Accessed",-43.9573864,-19.290363
"127","BALDIM - MINAS GERAIS",4,"Not accessed",-43.9573864,-19.290363
"128","Balsa Nova - Paraná",1,"Accessed",-49.6295579,-25.5808612
"129","Balsa Nova - Paraná",2,"Not accessed",-49.6295579,-25.5808612
"130","BAMBUI - MINAS GERAIS",1,"Not accessed",-45.9758004,-20.0170948
"131","BANDEIRA DO SUL - MINAS GERAIS",1,"Not accessed",-46.3837858,-21.7312822
"132","BANDEIRA - MINAS GERAIS",1,"Accessed",-40.562538,-15.8787796
"133","BANDEIRA - MINAS GERAIS",7,"Not accessed",-40.562538,-15.8787796
"134","BARAO DE COCAIS - MINAS GERAIS",2,"Accessed",-43.4826188,-19.9417097
"135","BARBACENA - MINAS GERAIS",19,"Accessed",-43.7706811,-21.2219344
"136","BARBACENA - MINAS GERAIS",38,"Not accessed",-43.7706811,-21.2219344
"137","Barracăo - Paraná",1,"Accessed",-53.632898,-26.2507099
"138","BARRA DO GARCAS - MATO GROSSO",1,"Not accessed",-52.2618826,-15.8916202
"139","Barra do Jacaré - Paraná",1,"Not accessed",-50.1846361,-23.1165207
"140","BARRA DO PIRAI - RIO DE JANEIRO",4,"Accessed",-43.8273373,-22.4720256
"141","BARRA DO PIRAI - RIO DE JANEIRO",10,"Not accessed",-43.8273373,-22.4720256
"142","BARRA LONGA - MINAS GERAIS",1,"Not accessed",-43.0405743,-20.2873512
"143","BARRA MANSA - RIO DE JANEIRO",8,"Accessed",-44.1772604,-22.5408519
"144","BARRA MANSA - RIO DE JANEIRO",10,"Not accessed",-44.1772604,-22.5408519
"145","BARROSO",3,"Not accessed",-43.9724558,-21.1911467
"146","BARROSO - MINAS GERAIS",6,"Accessed",-43.9724558,-21.1911467
"147","BARROSO - MINAS GERAIS",10,"Not accessed",-43.9724558,-21.1911467
"148","BELA VISTA DE MINAS - MINAS GERAIS",2,"Accessed",-43.0925696,-19.8306926
"149","BELA VISTA DE MINAS - MINAS GERAIS",2,"Not accessed",-43.0925696,-19.8306926
"150","Bela Vista do Paraíso - Paraná",2,"Accessed",-51.1931385,-22.9941291
"151","Bela Vista do Paraíso - Paraná",3,"Not accessed",-51.1931385,-22.9941291
"152","BELFORD ROXO - RIO DE JANEIRO",9,"Accessed",-43.3996264,-22.7645391
"153","BELFORD ROXO - RIO DE JANEIRO",19,"Not accessed",-43.3996264,-22.7645391
"154","BELMIRO BRAGA - MINAS GERAIS",1,"Accessed",-43.4088331,-21.944485
"155","BELMIRO BRAGA - MINAS GERAIS",3,"Not accessed",-43.4088331,-21.944485
"156","Belo Horizonte - MG",1,"Not accessed",-43.9344931,-19.9166813
"157","BELO HORIZONTE - MINAS GERAIS",159,"Accessed",-43.9344931,-19.9166813
"158","BELO HORIZONTE - MINAS GERAIS",256,"Not accessed",-43.9344931,-19.9166813
"159","BELO ORIENTE - MINAS GERAIS",3,"Accessed",-42.4831938,-19.2203866
"160","BELO ORIENTE - MINAS GERAIS",5,"Not accessed",-42.4831938,-19.2203866
"161","Bentópolis - Paraná",3,"Not accessed",-51.7176183,-22.9303783
"162","BERIZAL - MINAS GERAIS",18,"Not accessed",-41.7435867,-15.6104888
"163","BERTOPOLIS - MINAS GERAIS",1,"Not accessed",-40.5803504,-17.0594809
"164","betim- MINAS GERAIS",1,"Not accessed",-44.2011904,-19.9673078
"165","BETIM - MINAS GERAIS",55,"Accessed",-44.2011904,-19.9673078
"166","BETIM - MINAS GERAIS",68,"Not accessed",-44.2011904,-19.9673078
"167","BICAS",3,"Not accessed",-43.0563683,-21.7236567
"168","BICAS - MINAS GERAIS",10,"Accessed",-43.0563683,-21.7236567
"169","BICAS - MINAS GERAIS",35,"Not accessed",-43.0563683,-21.7236567
"170","Bituruna - Paraná",2,"Not accessed",-51.5522886,-26.1612329
"171","Boa Esperança -Mg",1,"Not accessed",-45.5629848,-21.092856
"172","BOA ESPERANCA - MINAS GERAIS",5,"Not accessed",-45.5629848,-21.092856
"173","Boa Esperança - Paraná",5,"Accessed",-52.7880583,-24.2472139
"174","Boa Esperança - Paraná",1,"Not accessed",-52.7880583,-24.2472139
"175","Boa Vista da Aparecida - Paraná",1,"Not accessed",-53.4074672,-25.4338346
"176","BOCAIUVA - MINAS GERAIS",4,"Accessed",-43.8203177,-17.1114272
"177","BOCAIUVA - MINAS GERAIS",5,"Not accessed",-43.8203177,-17.1114272
"178","BOM DESPACHO - MINAS GERAIS",19,"Accessed",-45.2625908,-19.7390981
"179","BOM DESPACHO - MINAS GERAIS",17,"Not accessed",-45.2625908,-19.7390981
"180","BOM JARDIM DE MINAS - MINAS GERAIS",1,"Accessed",-44.1889854,-21.9483692
"181","BOM JARDIM - RIO DE JANEIRO",4,"Accessed",-42.4257912,-22.1631542
"182","BOM JARDIM - RIO DE JANEIRO",4,"Not accessed",-42.4257912,-22.1631542
"183","BOM JESUS DA PENHA - MINAS GERAIS",1,"Accessed",-46.5178067,-21.0152664
"184","BOM JESUS DA PENHA - MINAS GERAIS",2,"Not accessed",-46.5178067,-21.0152664
"185","BOM JESUS DO GALHO - MINAS GERAIS",1,"Accessed",-42.3168709,-19.8364904
"186","BOM JESUS DO GALHO - MINAS GERAIS",1,"Not accessed",-42.3168709,-19.8364904
"187","BOM JESUS DO ITABAPOANA - RIO DE JANEIRO",2,"Accessed",-41.6826186,-21.145344
"188","BOM JESUS DO ITABAPOANA - RIO DE JANEIRO",2,"Not accessed",-41.6826186,-21.145344
"189","BOM JESUS DO NORTE - ESPÍRITO SANTO",1,"Accessed",-41.6735255,-21.1177829
"190","BOM REPOUSO - MINAS GERAIS",2,"Accessed",-46.144475,-22.4679824
"191","BOM REPOUSO - MINAS GERAIS",2,"Not accessed",-46.144475,-22.4679824
"192","BONFINOPOLIS DE MINAS - MINAS GERAIS",2,"Accessed",-45.9842811,-16.5684925
"193","BONFINOPOLIS DE MINAS - MINAS GERAIS",5,"Not accessed",-45.9842811,-16.5684925
"194","BONITO DE MINAS - MINAS GERAIS",3,"Accessed",-44.7546765,-15.3235827
"195","BONITO DE MINAS - MINAS GERAIS",6,"Not accessed",-44.7546765,-15.3235827
"196","BORDA DA MATA - MINAS GERAIS",1,"Accessed",-46.1657876,-22.2711884
"197","Borrazópolis - Paraná",1,"Accessed",-51.587995,-23.9370856
"198","BOTELHOS - MINAS GERAIS",1,"Accessed",-46.3938546,-21.6425304
"199","BOTELHOS - MINAS GERAIS",2,"Not accessed",-46.3938546,-21.6425304
"200","BRASILANDIA DE MINAS - MINAS GERAIS",1,"Accessed",-46.0085332,-17.0003288
"201","BRASILANDIA DE MINAS - MINAS GERAIS",2,"Not accessed",-46.0085332,-17.0003288
"202","BRASILIA DE MINAS - MINAS GERAIS",3,"Accessed",-44.4303056,-16.2108415
"203","BRASILIA DE MINAS - MINAS GERAIS",2,"Not accessed",-44.4303056,-16.2108415
"204","BRASILIA - DISTRITO FEDERAL",1,"Not accessed",-47.9218204,-15.826691
"205","BRASOPOLIS - MINAS GERAIS",3,"Accessed",-45.6186396,-22.4690419
"206","BRASOPOLIS - MINAS GERAIS",8,"Not accessed",-45.6186396,-22.4690419
"207","BRAS PIRES - MINAS GERAIS",4,"Not accessed",-43.2409655,-20.8423997
"208","BRUMADINHO - MINAS GERAIS",6,"Accessed",-44.2010909,-20.1514708
"209","BRUMADINHO - MINAS GERAIS",9,"Not accessed",-44.2010909,-20.1514708
"210","BUENO BRANDAO - MINAS GERAIS",1,"Not accessed",-46.3495427,-22.4388087
"211","BUENOPOLIS - MINAS GERAIS",1,"Not accessed",-44.1779141,-17.8749015
"212","BURITIS - MINAS GERAIS",6,"Accessed",-46.4248497,-15.6236274
"213","BURITIS - MINAS GERAIS",11,"Not accessed",-46.4248497,-15.6236274
"214","BURITIZEIRO - MINAS GERAIS",3,"Accessed",-44.9663359,-17.3624793
"215","BURITIZEIRO - MINAS GERAIS",4,"Not accessed",-44.9663359,-17.3624793
"216","CABECEIRA GRANDE - MINAS GERAIS",1,"Accessed",-47.0865828,-16.0339633
"217","CABECEIRA GRANDE - MINAS GERAIS",1,"Not accessed",-47.0865828,-16.0339633
"218","CABO FRIO - RIO DE JANEIRO",27,"Accessed",-42.0266493,-22.8869007
"219","CABO FRIO - RIO DE JANEIRO",35,"Not accessed",-42.0266493,-22.8869007
"220","CABO FRIO/ RIO DE JANEIRO",1,"Not accessed",-42.0266493,-22.8869007
"221","CABO VERDE - MINAS GERAIS",1,"Accessed",-46.392295,-21.470428
"222","CABO VERDE - MINAS GERAIS",2,"Not accessed",-46.392295,-21.470428
"223","CACHOEIRA DA PRATA - MINAS GERAIS",1,"Not accessed",-44.4547994,-19.5214449
"224","CACHOEIRA DE MINAS - MINAS GERAIS",1,"Accessed",-45.7813016,-22.3515958
"225","CACHOEIRA DE MINAS - MINAS GERAIS",6,"Not accessed",-45.7813016,-22.3515958
"226","CACHOEIRA DE PAJEU - MINAS GERAIS",1,"Not accessed",-41.4951492,-15.9692915
"227","CACHOEIRA DOURADA - MINAS GERAIS",1,"Accessed",-49.5043307,-18.5166078
"228","CACHOEIRAS DE MACACU - RIO DE JANEIRO",4,"Not accessed",-42.6527549,-22.4662996
"229","CAETANOPOLIS - MINAS GERAIS",2,"Accessed",-44.4192866,-19.2975518
"230","CAETANOPOLIS - MINAS GERAIS",2,"Not accessed",-44.4192866,-19.2975518
"231","CAETE - MINAS GERAIS",4,"Accessed",-43.6709935,-19.8861106
"232","CAETE - MINAS GERAIS",3,"Not accessed",-43.6709935,-19.8861106
"233","CAJURI - MINAS GERAIS",7,"Accessed",-42.7929095,-20.7907895
"234","CAJURI - MINAS GERAIS",1,"Not accessed",-42.7929095,-20.7907895
"235","Califórnia - Paraná",2,"Accessed",-51.3578522,-23.6570652
"236","CAMANDUCAIA - MINAS GERAIS",1,"Not accessed",-46.1447093,-22.7561615
"237","Cambará - Paraná",6,"Not accessed",-50.0755887,-23.0423693
"238","Cambé - Paraná",3,"Accessed",-51.2803152,-23.277052
"239","Cambé - Paraná",1,"Not accessed",-51.2803152,-23.277052
"240","CAMBUCI - RIO DE JANEIRO",2,"Accessed",-41.9184067,-21.5734704
"241","CAMBUCI - RIO DE JANEIRO",4,"Not accessed",-41.9184067,-21.5734704
"242","CAMBUI - MINAS GERAIS",1,"Accessed",-46.0576668,-22.6120263
"243","CAMBUQUIRA - MINAS GERAIS",5,"Accessed",-45.290002,-21.8544727
"244","CAMBUQUIRA - MINAS GERAIS",9,"Not accessed",-45.290002,-21.8544727
"245","CAMPANARIO - MINAS GERAIS",1,"Not accessed",-41.7257229,-18.2390252
"246","CAMPANHA - MINAS GERAIS",3,"Accessed",-45.4008248,-21.8364643
"247","CAMPANHA - MINAS GERAIS",10,"Not accessed",-45.4008248,-21.8364643
"248","CAMPESTRE - MINAS GERAIS",3,"Accessed",-46.2468753,-21.7113788
"249","CAMPESTRE - MINAS GERAIS",1,"Not accessed",-46.2468753,-21.7113788
"250","Campina Grande do Sul - Paraná",1,"Accessed",-49.0555691,-25.304882
"251","CAMPINA VERDE - MINAS GERAIS",1,"Accessed",-49.4866375,-19.5387307
"252","CAMPINA VERDE - MINAS GERAIS",1,"Not accessed",-49.4866375,-19.5387307
"253","CAMPO AZUL - MINAS GERAIS",1,"Not accessed",-44.8100363,-16.5032655
"254","CAMPO BELO - MINAS GERAIS",14,"Accessed",-45.270319,-20.893665
"255","CAMPO BELO - MINAS GERAIS",12,"Not accessed",-45.270319,-20.893665
"256","CAMPO DO MEIO - MINAS GERAIS",2,"Accessed",-45.8277653,-21.1132177
"257","CAMPO DO MEIO - MINAS GERAIS",1,"Not accessed",-45.8277653,-21.1132177
"258","Campo do Tenente - Paraná",4,"Accessed",-49.6848449,-25.9805065
"259","Campo do Tenente - Paraná",1,"Not accessed",-49.6848449,-25.9805065
"260","CAMPO FLORIDO - MINAS GERAIS",1,"Not accessed",-48.5720738,-19.7635542
"261","CAMPO GRANDE - RIO DE JANEIRO",1,"Not accessed",-43.5662438,-22.9035842
"262","Campo Largo - Paraná",7,"Accessed",-49.527294,-25.4596714
"263","Campo Largo - Paraná",7,"Not accessed",-49.527294,-25.4596714
"264","Campo Mourăo - Paraná",6,"Accessed",-52.3781098,-24.0436553
"265","Campo Mourăo - Paraná",3,"Not accessed",-52.3781098,-24.0436553
"266","CAMPOS ALTOS - MINAS GERAIS",2,"Accessed",-46.1736055,-19.6918841
"267","CAMPOS ALTOS - MINAS GERAIS",5,"Not accessed",-46.1736055,-19.6918841
"268","CAMPOS DOS GOYTACAZES - RIO DE JANEIRO",19,"Accessed",-41.3184501,-21.7626682
"269","CAMPOS DOS GOYTACAZES - RIO DE JANEIRO",33,"Not accessed",-41.3184501,-21.7626682
"270","CAMPOS DOS GOYTACAZES - RJ",1,"Not accessed",-41.3184501,-21.7626682
"271","CAMPOS GERAIS - MINAS GERAIS",6,"Accessed",-45.7573321,-21.2375085
"272","CAMPOS GERAIS - MINAS GERAIS",7,"Not accessed",-45.7573321,-21.2375085
"273","CANAPOLIS - MINAS GERAIS",1,"Not accessed",-49.2040029,-18.7216916
"274","CANA VERDE - MINAS GERAIS",1,"Accessed",-45.1804886,-21.0236909
"275","CANA VERDE - MINAS GERAIS",6,"Not accessed",-45.1804886,-21.0236909
"276","CANDEIAS - MINAS GERAIS",5,"Not accessed",-45.2768917,-20.7697044
"277","Cândido de Abreu - Paraná",3,"Accessed",-51.3376784,-24.5653768
"278","Cândido de Abreu - Paraná",1,"Not accessed",-51.3376784,-24.5653768
"279","Candói - Paraná",1,"Accessed",-52.048736,-25.5734631
"280","Cantagalo - Paraná",1,"Accessed",-52.1217384,-25.3754593
"281","Cantagalo - Paraná",1,"Not accessed",-52.1217384,-25.3754593
"282","CANTAGALO - RIO DE JANEIRO",2,"Not accessed",-42.3625761,-21.9802716
"283","Capanema - Paraná",4,"Accessed",-53.8060198,-25.6695763
"284","Capanema - Paraná",3,"Not accessed",-53.8060198,-25.6695763
"285","CAPARAO - MINAS GERAIS",3,"Accessed",-41.9059711,-20.5243936
"286","CAPELA NOVA - MINAS GERAIS",2,"Accessed",-43.6180954,-20.924024
"287","CAPELA NOVA - MINAS GERAIS",4,"Not accessed",-43.6180954,-20.924024
"288","CAPELINHA - MINAS GERAIS",6,"Accessed",-42.515122,-17.692453
"289","CAPELINHA - MINAS GERAIS",1,"Not accessed",-42.515122,-17.692453
"290","CAPIM BRANCO - MINAS GERAIS",1,"Not accessed",-44.1307647,-19.5475458
"291","CAPITAO ENEAS - MINAS GERAIS",4,"Accessed",-43.7088458,-16.3270016
"292","CAPITAO ENEAS - MINAS GERAIS",11,"Not accessed",-43.7088458,-16.3270016
"293","Capităo Leônidas Marques - Paraná",5,"Not accessed",-53.6117475,-25.4821224
"294","CAPITOLIO - MINAS GERAIS",1,"Accessed",-46.0496897,-20.6168527
"295","CAPITOLIO - MINAS GERAIS",1,"Not accessed",-46.0496897,-20.6168527
"296","Capitólio - Minas Gerais",1,"Not accessed",-46.0496897,-20.6168527
"297","CARAI - MINAS GERAIS",3,"Accessed",-41.7007464,-17.1866315
"298","CARAI - MINAS GERAIS",4,"Not accessed",-41.7007464,-17.1866315
"299","Carambeí - Paraná",3,"Accessed",-50.1139868,-24.9526745
"300","Carambeí - Paraná",12,"Not accessed",-50.1139868,-24.9526745
"301","CARANAIBA - MINAS GERAIS",2,"Accessed",-43.7376385,-20.8747468
"302","CARANDAI - MINAS GERAIS",4,"Not accessed",-43.8006698,-20.9510691
"303","CARANGOLA - MINAS GERAIS",7,"Accessed",-42.0317467,-20.734838
"304","CARANGOLA - MINAS GERAIS",13,"Not accessed",-42.0317467,-20.734838
"305","CARAPEBUS - RIO DE JANEIRO",1,"Accessed",-41.6617014,-22.1888948
"306","CARAPEBUS - RIO DE JANEIRO",4,"Not accessed",-41.6617014,-22.1888948
"307","CARATINGA",1,"Not accessed",-42.1415419,-19.7896207
"308","CARATINGA - MINAS GERAIS",14,"Accessed",-42.1415419,-19.7896207
"309","CARATINGA - MINAS GERAIS",20,"Not accessed",-42.1415419,-19.7896207
"310","CARBONITA - MINAS GERAIS",1,"Accessed",-43.0140875,-17.5259619
"311","CARDOSO MOREIRA - RIO DE JANEIRO",1,"Accessed",-41.616893,-21.48509
"312","CAREACU - MINAS GERAIS",1,"Not accessed",-45.696445,-22.0428666
"313","Carlópolis - Paraná",3,"Not accessed",-49.7239575,-23.4273793
"314","CARLOS CHAGAS - MINAS GERAIS",2,"Not accessed",-40.7726564,-17.6978103
"315","CARMESIA - MINAS GERAIS",1,"Not accessed",-43.1386521,-19.0881965
"316","CARMO DA CACHOEIRA - MINAS GERAIS",1,"Accessed",-45.2204932,-21.463777
"317","CARMO DA CACHOEIRA - MINAS GERAIS",3,"Not accessed",-45.2204932,-21.463777
"318","CARMO DA MATA - MINAS GERAIS",1,"Accessed",-44.8698328,-20.5584659
"319","Carmo do Cajuru",1,"Not accessed",-44.7710936,-20.1851187
"320","Carmo do Cajuru - Minas Gerais",1,"Not accessed",-44.7710936,-20.1851187
"321","CARMO DO CAJURU - MINAS GERAIS",7,"Accessed",-44.7710936,-20.1851187
"322","CARMO DO CAJURU - MINAS GERAIS",8,"Not accessed",-44.7710936,-20.1851187
