"",".id","Freq","Var1","lon","lat"
"1","ABADIA DOS DOURADOS - MINAS GERAIS",1,"Not accessed",-47.4030649,-18.4868648
"2","ABAETE - MINAS GERAIS",3,"Accessed",-45.4448368,-19.1555986
"3","ABAETE - MINAS GERAIS",11,"Not accessed",-45.4448368,-19.1555986
"4","Abapă - Paraná",1,"Not accessed",-49.833682,-24.9404121
"5","Abatiá - Paraná",1,"Accessed",-50.3137567,-23.3053431
"6","Abatiá - Paraná",3,"Not accessed",-50.3137567,-23.3053431
"7","ABRE CAMPO - MINAS GERAIS",3,"Not accessed",-42.4747054,-20.3001336
"8","ACAIACA - MINAS GERAIS",1,"Accessed",-43.1442744,-20.3595194
"9","ACAIACA - MINAS GERAIS",2,"Not accessed",-43.1442744,-20.3595194
"10","ACUCENA - MINAS GERAIS",2,"Accessed",-42.5425406,-19.06994
"11","AGUA BOA - MINAS GERAIS",5,"Accessed",-42.3922222,-17.9955855
"12","AGUA BOA - MINAS GERAIS",6,"Not accessed",-42.3922222,-17.9955855
"13","AGUA COMPRIDA - MINAS GERAIS",1,"Not accessed",-48.1073269,-20.0580418
"14","AGUANIL - MINAS GERAIS",2,"Not accessed",-45.3918842,-20.944425
"15","AGUAS FORMOSAS - MINAS GERAIS",2,"Accessed",-40.9387356,-17.0806813
"16","AGUAS FORMOSAS - MINAS GERAIS",1,"Not accessed",-40.9387356,-17.0806813
"17","AGUAS VERMELHAS - MINAS GERAIS",1,"Accessed",-41.4575095,-15.7435192
"18","AGUAS VERMELHAS - MINAS GERAIS",4,"Not accessed",-41.4575095,-15.7435192
"19","Agudos do Sul - Paraná",1,"Not accessed",-49.3347711,-25.9903937
"20","AIMORES - MINAS GERAIS",2,"Accessed",-41.0717332,-19.4960182
"21","Aiuruoca - MINAS GERAIS",1,"Not accessed",-44.6046365,-21.9740981
"22","ALBERTINA",1,"Not accessed",16.3681824,48.2046992
"23","ALBERTINA - MINAS GERAIS",8,"Not accessed",-46.6143541,-22.2022609
"24","ALEM PARAIBA - MINAS GERAIS",7,"Accessed",-42.7045927,-21.8881375
"25","ALEM PARAIBA - MINAS GERAIS",7,"Not accessed",-42.7045927,-21.8881375
"26","ALFENAS - MINAS GERAIS",45,"Accessed",-45.9481612,-21.4261129
"27","ALFENAS - MINAS GERAIS",44,"Not accessed",-45.9481612,-21.4261129
"28","ALFREDO VASCONCELOS - MINAS GERAIS",1,"Accessed",-43.772182,-21.154009
"29","ALMENARA - MINAS GERAIS",3,"Accessed",-40.6953256,-16.1797135
"30","ALMENARA - MINAS GERAIS",6,"Not accessed",-40.6953256,-16.1797135
"31","Almirante Tamandaré - Paraná",3,"Accessed",-49.3042082,-25.3193102
"32","Almirante Tamandaré - Paraná",4,"Not accessed",-49.3042082,-25.3193102
"33","ALPERCATA - MINAS GERAIS",1,"Accessed",-41.9899003,-18.9903784
"34","ALPERCATA - MINAS GERAIS",1,"Not accessed",-41.9899003,-18.9903784
"35","ALPINOPOLIS - MINAS GERAIS",10,"Accessed",-46.3882332,-20.863539
"36","ALPINOPOLIS - MINAS GERAIS",20,"Not accessed",-46.3882332,-20.863539
"37","ALTEROSA - MINAS GERAIS",1,"Accessed",-46.1391013,-21.2492346
